metric,value
session_id,20260514_152753
session_duration_s,37.217
tasks_recorded,1
tasks_completed,0
total_actions,10
unintentional_actions,0
unintentional_rate,0.0
recognition_accuracy_proxy,1.0
frames_total,262
frames_right_hand_detected,220
right_hand_loss_rate,0.16
